label	checkpoint	step	epoch	forget_qa_rouge	holdout_qa_rouge	mmlu_pro_400_acc	truthfulqa_bin_200_acc	arc_200_acc	winogrande_200_acc	utility_avg	utility_delta_vs_base
base_model_orig	base_model_orig	0	0.0			0.38	0.71	0.85	0.705	0.605	0.0
checkpoint-16	checkpoint-16	16	0.5245901639344263	0.9429460580912863	0.9645	0.3825	0.71	0.855	0.705	0.607	0.0020000000000000018
checkpoint-32	checkpoint-32	32	1.0491803278688525	0.9447614107883817	0.962	0.3725	0.715	0.85	0.71	0.604	-0.0010000000000000009
checkpoint-48	checkpoint-48	48	1.5737704918032787	0.9366355463347166	0.9706666666666667	0.3775	0.725	0.85	0.7	0.606	0.0010000000000000009
checkpoint-64	checkpoint-64	64	2.098360655737705	0.919432918395574	0.961	0.3725	0.725	0.85	0.705	0.605	0.0
checkpoint-80	checkpoint-80	80	2.6229508196721314	0.896317427385892	0.9501666666666667	0.3775	0.725	0.85	0.71	0.608	0.0030000000000000027
checkpoint-96	checkpoint-96	96	3.1475409836065573	0.8853388658367912	0.9506666666666668	0.375	0.725	0.85	0.705	0.606	0.0010000000000000009
checkpoint-112	checkpoint-112	112	3.6721311475409837	0.8894882434301522	0.9625	0.3725	0.725	0.85	0.71	0.606	0.0010000000000000009
checkpoint-128	checkpoint-128	128	4.19672131147541	0.8699515905947441	0.9615	0.3675	0.725	0.85	0.7	0.602	-0.0030000000000000027
checkpoint-144	checkpoint-144	144	4.721311475409836	0.8643326417704011	0.9588333333333334	0.3625	0.725	0.85	0.71	0.602	-0.0030000000000000027
checkpoint-150	checkpoint-150	150	4.918032786885246	0.8624308437067774	0.9648333333333333	0.3725	0.725	0.85	0.71	0.606	0.0010000000000000009
final	final	150	4.918032786885246	0.8624308437067774	0.9648333333333333	0.3725	0.725	0.85	0.71	0.606	0.0010000000000000009
