label	checkpoint	step	epoch	forget_qa_rouge	holdout_qa_rouge	mmlu_pro_400_acc	truthfulqa_bin_200_acc	arc_200_acc	winogrande_200_acc	utility_avg	utility_delta_vs_base
base_model_orig	base_model_orig	0	0.0			0.38	0.71	0.85	0.705	0.605	0.0
checkpoint-8	checkpoint-8	8	0.5161290322580645	0.9610995850622407	0.9655	0.37	0.715	0.855	0.695	0.601	-0.0040000000000000036
checkpoint-16	checkpoint-16	16	1.032258064516129	0.9614453665283541	0.9688333333333332	0.3725	0.71	0.85	0.705	0.602	-0.0030000000000000027
checkpoint-24	checkpoint-24	24	1.5483870967741935	0.9562586445366529	0.9668333333333332	0.3775	0.715	0.855	0.7	0.605	0.0
checkpoint-32	checkpoint-32	32	2.064516129032258	0.9559128630705395	0.9688333333333332	0.375	0.72	0.86	0.7	0.606	0.0010000000000000009
checkpoint-40	checkpoint-40	40	2.5806451612903225	0.9536652835408023	0.9668333333333332	0.375	0.71	0.86	0.68	0.6	-0.0050000000000000044
checkpoint-48	checkpoint-48	48	3.096774193548387	0.952627939142462	0.9668333333333332	0.3725	0.715	0.855	0.705	0.604	-0.0010000000000000009
checkpoint-56	checkpoint-56	56	3.6129032258064515	0.9491701244813278	0.9675	0.3875	0.715	0.855	0.7	0.609	0.0040000000000000036
checkpoint-64	checkpoint-64	64	4.129032258064516	0.9412171507607191	0.9655	0.3825	0.715	0.86	0.705	0.609	0.0040000000000000036
checkpoint-72	checkpoint-72	72	4.645161290322581	0.935615491009682	0.9715	0.375	0.71	0.86	0.705	0.605	0.0
checkpoint-75	checkpoint-75	75	4.838709677419355	0.9328492392807746	0.9715	0.38	0.715	0.855	0.695	0.605	0.0
final	final	75	4.838709677419355	0.9328492392807746	0.9715	0.38	0.715	0.855	0.695	0.605	0.0
