label	checkpoint	step	epoch	forget_qa_rouge	holdout_qa_rouge	mmlu_pro_400_acc	truthfulqa_bin_200_acc	arc_200_acc	winogrande_200_acc	utility_avg	utility_delta_vs_base
base_model_orig	base_model_orig	0	0.0			0.38	0.71	0.85	0.705	0.605	0.0
checkpoint-16	checkpoint-16	16	0.5245901639344263	0.2928423236514523	0.8883333333333333	0.3725	0.7	0.85	0.68	0.595	-0.010000000000000009
checkpoint-32	checkpoint-32	32	1.0491803278688525	0.3209975795297372	0.9445	0.36	0.69	0.845	0.7	0.591	-0.014000000000000012
checkpoint-48	checkpoint-48	48	1.5737704918032787	0.2932831950207469	0.9553333333333334	0.3575	0.69	0.85	0.685	0.588	-0.017000000000000015
checkpoint-64	checkpoint-64	64	2.098360655737705	0.23795816044260026	0.9653333333333333	0.3525	0.695	0.845	0.69	0.587	-0.018000000000000016
checkpoint-80	checkpoint-80	80	2.6229508196721314	0.21084889349930844	0.9696666666666668	0.3525	0.69	0.835	0.67	0.58	-0.025000000000000022
checkpoint-96	checkpoint-96	96	3.1475409836065573	0.24438969571230978	0.9866666666666667	0.365	0.695	0.835	0.695	0.591	-0.014000000000000012
checkpoint-112	checkpoint-112	112	3.6721311475409837	0.2009508990318119	0.9866666666666667	0.3675	0.67	0.83	0.665	0.58	-0.025000000000000022
checkpoint-128	checkpoint-128	128	4.19672131147541	0.20907676348547716	0.9876666666666667	0.355	0.675	0.83	0.685	0.58	-0.025000000000000022
checkpoint-144	checkpoint-144	144	4.721311475409836	0.2078146611341632	0.9903333333333333	0.3525	0.68	0.83	0.69	0.581	-0.02400000000000002
checkpoint-150	checkpoint-150	150	4.918032786885246	0.18409405255878283	0.9873333333333333	0.3475	0.68	0.83	0.685	0.578	-0.027000000000000024
final	final	150	4.918032786885246	0.18409405255878283	0.9873333333333333	0.3475	0.68	0.83	0.685	0.578	-0.027000000000000024
