label	checkpoint	step	epoch	forget_qa_rouge	holdout_qa_rouge	mmlu_pro_400_acc	truthfulqa_bin_200_acc	arc_200_acc	winogrande_200_acc	utility_avg	utility_delta_vs_base
base_model_orig	base_model_orig	0	0.0			0.38	0.71	0.85	0.705	0.605	0.0
checkpoint-16	checkpoint-16	16	0.5245901639344263	0.10546334716459198	0.8294666666666667	0.3625	0.69	0.85	0.69	0.591	-0.014000000000000012
checkpoint-32	checkpoint-32	32	1.0491803278688525	0.0765905947441217	0.8693333333333333	0.315	0.605	0.785	0.575	0.519	-0.08599999999999997
checkpoint-48	checkpoint-48	48	1.5737704918032787	0.07102351313969571	0.9176666666666666	0.285	0.525	0.73	0.55	0.475	-0.13
checkpoint-64	checkpoint-64	64	2.098360655737705	0.06466113416320886	0.9113333333333333	0.245	0.46	0.695	0.57	0.443	-0.16199999999999998
checkpoint-80	checkpoint-80	80	2.6229508196721314	0.04873789764868603	0.9281666666666666	0.225	0.485	0.655	0.535	0.425	-0.18
checkpoint-96	checkpoint-96	96	3.1475409836065573	0.05323305670816044	0.959	0.2425	0.525	0.685	0.59	0.457	-0.14799999999999996
checkpoint-112	checkpoint-112	112	3.6721311475409837	0.05229944674965421	0.9846666666666666	0.25	0.57	0.695	0.57	0.467	-0.13799999999999996
checkpoint-128	checkpoint-128	128	4.19672131147541	0.05117565698478562	0.997	0.265	0.55	0.695	0.575	0.47	-0.135
checkpoint-144	checkpoint-144	144	4.721311475409836	0.04538381742738589	0.996	0.26	0.55	0.695	0.555	0.464	-0.14099999999999996
checkpoint-150	checkpoint-150	150	4.918032786885246	0.043654910096818815	0.998	0.2575	0.555	0.69	0.55	0.462	-0.14299999999999996
final	final	150	4.918032786885246	0.043654910096818815	0.998	0.2575	0.555	0.69	0.55	0.462	-0.14299999999999996
