label	checkpoint	step	epoch	forget_qa_rouge	holdout_qa_rouge
checkpoint-8	checkpoint-8	8	0.5161290322580645	0.9107883817427386	0.957
checkpoint-16	checkpoint-16	16	1.032258064516129	0.9128630705394191	0.9586666666666667
checkpoint-24	checkpoint-24	24	1.5483870967741935	0.9279045643153527	0.961
checkpoint-32	checkpoint-32	32	2.064516129032258	0.9439834024896265	0.977
checkpoint-40	checkpoint-40	40	2.5806451612903225	0.9393153526970954	0.972
checkpoint-48	checkpoint-48	48	3.096774193548387	0.9284232365145229	0.9676666666666667
checkpoint-56	checkpoint-56	56	3.6129032258064515	0.9253112033195021	0.9461666666666667
checkpoint-64	checkpoint-64	64	4.129032258064516	0.9268672199170125	0.9571666666666666
checkpoint-72	checkpoint-72	72	4.645161290322581	0.9201244813278008	0.9331666666666667
checkpoint-75	checkpoint-75	75	4.838709677419355	0.924792531120332	0.9388333333333333
final	final	75	4.838709677419355	0.924792531120332	0.9388333333333333
