label	checkpoint	step	epoch	forget_qa_rouge	holdout_qa_rouge	mmlu_pro_400_acc	truthfulqa_bin_200_acc	arc_200_acc	winogrande_200_acc	utility_avg	utility_delta_vs_base
base_model_orig	base_model_orig	0	0.0			0.39	0.73	0.855	0.65	0.603	0.0
checkpoint-45	checkpoint-45	45	0.5	0.7391042238992916	0.8594816383086762	0.3975	0.73	0.865	0.635	0.605	0.0020000000000000018
checkpoint-90	checkpoint-90	90	1.0	0.6847287944196593	0.8772344289242898	0.395	0.715	0.87	0.655	0.606	0.0030000000000000027
checkpoint-135	checkpoint-135	135	1.5	0.6501269831245516	0.8839137612994473	0.3925	0.675	0.865	0.64	0.593	-0.010000000000000009
checkpoint-180	checkpoint-180	180	2.0	0.6347531911182485	0.909543962774579	0.395	0.715	0.85	0.635	0.598	-0.0050000000000000044
checkpoint-225	checkpoint-225	225	2.5	0.5640025772537062	0.9229895518662914	0.385	0.695	0.855	0.62	0.588	-0.015000000000000013
checkpoint-270	checkpoint-270	270	3.0	0.6340317781095829	0.9402522814053628	0.3825	0.685	0.85	0.625	0.585	-0.018000000000000016
checkpoint-315	checkpoint-315	315	3.5	0.6132096908147621	0.9487040240519365	0.3775	0.715	0.86	0.635	0.593	-0.010000000000000009
checkpoint-360	checkpoint-360	360	4.0	0.6265210408055146	0.9522469798811746	0.3725	0.73	0.87	0.63	0.595	-0.008000000000000007
checkpoint-405	checkpoint-405	405	4.5	0.5294367783426484	0.9605516970328104	0.3825	0.725	0.88	0.65	0.604	0.0010000000000000009
checkpoint-450	checkpoint-450	450	5.0	0.591791707578439	0.96420201733323	0.3875	0.715	0.865	0.655	0.602	-0.0010000000000000009
final	final	450	5.0	0.591791707578439	0.96420201733323	0.3875	0.715	0.865	0.655	0.602	-0.0010000000000000009
