label	checkpoint	step	epoch	forget_qa_rouge	holdout_qa_rouge	mmlu_pro_400_acc	truthfulqa_bin_200_acc	arc_200_acc	winogrande_200_acc	utility_avg	utility_delta_vs_base
base_model_orig	base_model_orig	0	0.0			0.38	0.71	0.85	0.705	0.605	0.0
checkpoint-8	checkpoint-8	8	0.5161290322580645	0.9133817427385892	0.9655	0.375	0.71	0.855	0.71	0.605	0.0
checkpoint-16	checkpoint-16	16	1.032258064516129	0.9097510373443983	0.955	0.365	0.7	0.86	0.695	0.597	-0.008000000000000007
checkpoint-24	checkpoint-24	24	1.5483870967741935	0.9076763485477178	0.9561666666666666	0.3775	0.71	0.85	0.705	0.604	-0.0010000000000000009
checkpoint-32	checkpoint-32	32	2.064516129032258	0.9076763485477178	0.955	0.37	0.71	0.86	0.715	0.605	0.0
checkpoint-40	checkpoint-40	40	2.5806451612903225	0.9035269709543569	0.959	0.3825	0.715	0.85	0.7	0.606	0.0010000000000000009
checkpoint-48	checkpoint-48	48	3.096774193548387	0.9045643153526971	0.9536666666666667	0.3725	0.71	0.86	0.705	0.604	-0.0010000000000000009
checkpoint-56	checkpoint-56	56	3.6129032258064515	0.9061203319502075	0.9483333333333333	0.38	0.715	0.85	0.7	0.605	0.0
checkpoint-64	checkpoint-64	64	4.129032258064516	0.9014522821576764	0.9433333333333332	0.3725	0.72	0.85	0.695	0.602	-0.0030000000000000027
checkpoint-72	checkpoint-72	72	4.645161290322581	0.9014522821576764	0.9423333333333332	0.37	0.72	0.855	0.705	0.604	-0.0010000000000000009
checkpoint-75	checkpoint-75	75	4.838709677419355	0.9019709543568465	0.9423333333333332	0.3725	0.715	0.85	0.71	0.604	-0.0010000000000000009
final	final	75	4.838709677419355	0.9019709543568465	0.9423333333333332	0.3725	0.715	0.85	0.71	0.604	-0.0010000000000000009
