label	checkpoint	step	epoch	forget_qa_rouge	holdout_qa_rouge	mmlu_pro_400_acc	truthfulqa_bin_200_acc	arc_200_acc	winogrande_200_acc	utility_avg	utility_delta_vs_base
base_model_orig	base_model_orig	0	0.0			0.39	0.73	0.855	0.65	0.603	0.0
checkpoint-45	checkpoint-45	45	0.5	0.7796357110528699	0.8550453412282437	0.4	0.695	0.865	0.665	0.605	0.0020000000000000018
checkpoint-90	checkpoint-90	90	1.0	0.6303161872283095	0.8386322038906531	0.4025	0.695	0.865	0.635	0.6	-0.0030000000000000027
checkpoint-135	checkpoint-135	135	1.5	0.5673990813709466	0.8199200181307538	0.4025	0.67	0.865	0.65	0.598	-0.0050000000000000044
checkpoint-180	checkpoint-180	180	2.0	0.5303251464679044	0.8864324873271195	0.3925	0.675	0.85	0.67	0.596	-0.007000000000000006
checkpoint-225	checkpoint-225	225	2.5	0.3952938054188488	0.9068449332862851	0.3975	0.665	0.86	0.675	0.599	-0.0040000000000000036
checkpoint-270	checkpoint-270	270	3.0	0.41839587509090814	0.8922773603688118	0.3875	0.655	0.865	0.665	0.592	-0.01100000000000001
checkpoint-315	checkpoint-315	315	3.5	0.5767606096192411	0.9272337117267535	0.415	0.66	0.84	0.67	0.6	-0.0030000000000000027
checkpoint-360	checkpoint-360	360	4.0	0.4801792800229758	0.9332328539585001	0.4025	0.655	0.86	0.685	0.601	-0.0020000000000000018
checkpoint-405	checkpoint-405	405	4.5	0.4196906919640508	0.9429027566204505	0.4125	0.65	0.84	0.69	0.601	-0.0020000000000000018
checkpoint-450	checkpoint-450	450	5.0	0.09232992606559817	0.9328152298331225	0.39	0.665	0.86	0.685	0.598	-0.0050000000000000044
final	final	450	5.0	0.09232992606559817	0.9328152298331225	0.39	0.665	0.86	0.685	0.598	-0.0050000000000000044
