label	checkpoint	step	epoch	forget_qa_rouge	holdout_qa_rouge	mmlu_pro_400_acc	truthfulqa_bin_200_acc	arc_200_acc	winogrande_200_acc	utility_avg	utility_delta_vs_base
base_model_orig	base_model_orig	0	0.0			0.39	0.73	0.855	0.65	0.603	0.0
checkpoint-45	checkpoint-45	45	0.5	0.7992175764492542	0.862751628755605	0.405	0.73	0.855	0.655	0.61	0.007000000000000006
checkpoint-90	checkpoint-90	90	1.0	0.8546558975353695	0.9041512827795134	0.3925	0.715	0.865	0.66	0.605	0.0020000000000000018
checkpoint-135	checkpoint-135	135	1.5	0.8620410676506544	0.8878101520745656	0.395	0.71	0.865	0.655	0.604	0.0010000000000000009
checkpoint-180	checkpoint-180	180	2.0	0.8751461170530292	0.8871345519953869	0.3975	0.71	0.865	0.66	0.606	0.0030000000000000027
checkpoint-225	checkpoint-225	225	2.5	0.8743283076384849	0.8782893547804084	0.395	0.71	0.865	0.665	0.606	0.0030000000000000027
checkpoint-270	checkpoint-270	270	3.0	0.8689477015979274	0.8770260830399996	0.3875	0.715	0.865	0.67	0.605	0.0020000000000000018
checkpoint-315	checkpoint-315	315	3.5	0.8623494659791986	0.8680466264462289	0.3875	0.705	0.865	0.67	0.603	0.0
checkpoint-360	checkpoint-360	360	4.0	0.8527678286361857	0.8674411682860987	0.39	0.695	0.865	0.665	0.601	-0.0020000000000000018
checkpoint-405	checkpoint-405	405	4.5	0.8498906722161325	0.8690879972689118	0.3775	0.69	0.865	0.67	0.596	-0.007000000000000006
checkpoint-450	checkpoint-450	450	5.0	0.8498952834051827	0.876095734395933	0.3825	0.695	0.865	0.675	0.6	-0.0030000000000000027
final	final	450	5.0	0.8498952834051827	0.876095734395933	0.3825	0.695	0.865	0.675	0.6	-0.0030000000000000027
