label	checkpoint	step	epoch	forget_qa_rouge	holdout_qa_rouge
checkpoint-8	checkpoint-8	8	0.5161290322580645	0.9123443983402489	0.9613333333333333
checkpoint-16	checkpoint-16	16	1.032258064516129	0.5197095435684648	0.9148333333333334
checkpoint-24	checkpoint-24	24	1.5483870967741935	0.8272821576763485	0.9696666666666667
checkpoint-32	checkpoint-32	32	2.064516129032258	0.504149377593361	0.976
checkpoint-40	checkpoint-40	40	2.5806451612903225	0.6628630705394191	0.9781666666666666
checkpoint-48	checkpoint-48	48	3.096774193548387	0.4413900414937759	0.978
checkpoint-56	checkpoint-56	56	3.6129032258064515	0.6846473029045643	0.9815
checkpoint-64	checkpoint-64	64	4.129032258064516	0.5632780082987552	0.983
checkpoint-72	checkpoint-72	72	4.645161290322581	0.23132780082987553	0.9785
checkpoint-75	checkpoint-75	75	4.838709677419355	0.18672199170124482	0.988
final	final	75	4.838709677419355	0.18672199170124482	0.988
