label	checkpoint	step	epoch	forget_qa_rouge	holdout_qa_rouge	mmlu_pro_400_acc	truthfulqa_bin_200_acc	arc_200_acc	winogrande_200_acc	utility_avg	utility_delta_vs_base
base_model_orig	base_model_orig	0	0.0			0.38	0.71	0.85	0.705	0.605	0.0
checkpoint-8	checkpoint-8	8	0.5161290322580645	0.9107883817427386	0.964	0.3775	0.71	0.85	0.71	0.605	0.0
checkpoint-16	checkpoint-16	16	1.032258064516129	0.9102697095435685	0.953	0.3775	0.71	0.85	0.705	0.604	-0.0010000000000000009
checkpoint-24	checkpoint-24	24	1.5483870967741935	0.9102697095435685	0.9476666666666667	0.375	0.705	0.85	0.705	0.602	-0.0030000000000000027
checkpoint-32	checkpoint-32	32	2.064516129032258	0.9056016597510373	0.9526666666666667	0.375	0.705	0.85	0.71	0.603	-0.0020000000000000018
checkpoint-40	checkpoint-40	40	2.5806451612903225	0.9087136929460581	0.9516666666666667	0.3775	0.725	0.85	0.695	0.605	0.0
checkpoint-48	checkpoint-48	48	3.096774193548387	0.9175311203319502	0.9533333333333333	0.3725	0.72	0.85	0.705	0.604	-0.0010000000000000009
checkpoint-56	checkpoint-56	56	3.6129032258064515	0.9133817427385892	0.9476666666666668	0.38	0.72	0.85	0.705	0.607	0.0020000000000000018
checkpoint-64	checkpoint-64	64	4.129032258064516	0.9185684647302904	0.9426666666666668	0.375	0.725	0.85	0.715	0.608	0.0030000000000000027
checkpoint-72	checkpoint-72	72	4.645161290322581	0.91701244813278	0.9386666666666668	0.375	0.725	0.85	0.71	0.607	0.0020000000000000018
checkpoint-75	checkpoint-75	75	4.838709677419355	0.9164937759336099	0.9513333333333334	0.3825	0.72	0.85	0.72	0.611	0.006000000000000005
final	final	75	4.838709677419355	0.9164937759336099	0.9513333333333334	0.3825	0.72	0.85	0.72	0.611	0.006000000000000005
