label	checkpoint	step	epoch	forget_qa_rouge	holdout_qa_rouge	mmlu_pro_400_acc	truthfulqa_bin_200_acc	arc_200_acc	winogrande_200_acc	utility_avg	utility_delta_vs_base
base_model_orig	base_model_orig	0	0.0			0.39	0.73	0.855	0.65	0.603	0.0
checkpoint-45	checkpoint-45	45	0.5	0.45307308183306794	0.8038806124293202	0.405	0.68	0.87	0.63	0.598	-0.0050000000000000044
checkpoint-90	checkpoint-90	90	1.0	0.3341360185490092	0.8328325142937467	0.405	0.69	0.87	0.65	0.604	0.0010000000000000009
checkpoint-135	checkpoint-135	135	1.5	0.28768342633399946	0.8798023547029511	0.3925	0.66	0.86	0.66	0.593	-0.010000000000000009
checkpoint-180	checkpoint-180	180	2.0	0.21657949263888823	0.8999343047056766	0.385	0.675	0.855	0.64	0.588	-0.015000000000000013
checkpoint-225	checkpoint-225	225	2.5	0.18847721496210554	0.9181960186930366	0.3975	0.67	0.855	0.62	0.588	-0.015000000000000013
checkpoint-270	checkpoint-270	270	3.0	0.16886120421202047	0.9300766827605794	0.39	0.66	0.86	0.65	0.59	-0.013000000000000012
checkpoint-315	checkpoint-315	315	3.5	0.14811808352968478	0.9275122712498457	0.39	0.675	0.835	0.61	0.58	-0.02300000000000002
checkpoint-360	checkpoint-360	360	4.0	0.1375798625364447	0.9374892778968326	0.3725	0.68	0.815	0.63	0.574	-0.029000000000000026
checkpoint-405	checkpoint-405	405	4.5	0.13633199709094118	0.9416269339231566	0.3675	0.675	0.835	0.65	0.579	-0.02400000000000002
checkpoint-450	checkpoint-450	450	5.0	0.13427316383203844	0.9574871836800265	0.385	0.64	0.83	0.635	0.575	-0.028000000000000025
final	final	450	5.0	0.13427316383203844	0.9574871836800265	0.385	0.64	0.83	0.635	0.575	-0.028000000000000025
