label	step	epoch	mmlu_pro_400_acc	truthfulqa_bin_200_acc	arc_200_acc	winogrande_200_acc	utility_avg	utility_delta_vs_base
base_model_orig	0	0.0	0.39	0.73	0.855	0.65	0.603	0.0
checkpoint-45	45	0.5	0.385	0.695	0.865	0.64	0.594	-0.009000000000000008
checkpoint-90	90	1.0	0.3925	0.69	0.87	0.65	0.599	-0.0040000000000000036
checkpoint-135	135	1.5	0.4075	0.675	0.86	0.69	0.608	0.0050000000000000044
checkpoint-180	180	2.0	0.405	0.685	0.87	0.635	0.6	-0.0030000000000000027
checkpoint-225	225	2.5	0.4025	0.675	0.87	0.655	0.601	-0.0020000000000000018
checkpoint-270	270	3.0	0.395	0.67	0.855	0.665	0.596	-0.007000000000000006
checkpoint-315	315	3.5	0.3825	0.655	0.865	0.66	0.589	-0.014000000000000012
checkpoint-360	360	4.0	0.3825	0.65	0.865	0.65	0.586	-0.017000000000000015
checkpoint-405	405	4.5	0.39	0.645	0.85	0.66	0.587	-0.016000000000000014
checkpoint-450	450	5.0	0.3875	0.65	0.84	0.64	0.581	-0.02200000000000002
final	450	5.0	0.3875	0.65	0.84	0.64	0.581	-0.02200000000000002
